id_tse,firm,symbol,fin_year,year,month,industry,industry_id,sum_over1,num_holders,largest_owner,first_second,first_sumtwofour,sumfive,sumfour,sumthree,sumtwo,gini,herfindahl,sscl,ssco,ssdl,ssdo,bzcl,bzco,bzdl,tot_asset,tot_lib,ppe,book_value,marketcap,capital,equity,revenue,cost_of_revenue,gross_profit,operating_expenses,operating_income,ebt,tax,net_income,eps,operating_cash_flow,investing_cash_flow,financing_cash_flow,begining_cash_position,change_in_cash,end_cash_position,dividend,payout,dps,adj_eps,adj_dps,adj_earning,adj_dividend,DIVTOI,DIVTNI,DIVTEQ,DIVTS,DPAY,DIVTMVE,ROA,ROE,DLOSS,NPLOSS,MTB,LEVRG,LNTA,LNQ,LHH,Q,DEBT
2.68246738199e+16,گروه بهمن,خبهمن,1388-12-29,1388,12,خودرو و ساخت قطعات,15,50.84,18,6.9299998,1,.37158176,28.82,25.58,19.719999,13.86,.38802239,2.1822081,.073301002,0.7389989999999991,.073890001,.73693502,.076102003,.73675501,.29293001,12889259,5697708,596921,7191551,5621440,3520000,7191551,6436365,5546917,889448,906845,1511993,1422223,,1422223,404,-204311,137540,533980,160365,-38054,122311,633600,.44549999,180,1368.2393,609.61157,481620.22,214583.27,.41904956,.44549975,.088103384,.098440655,1,.11271133,.11730643,.21024574,0,0,.78167284,.44205084,16.371904,-.246319,.78033721,.78167284,.44205084
2.29039017090e+16,ریخته گری تراکتور,ختراک,1388-12-29,1388,12,خودرو و ساخت قطعات,15,64.959999,8,19.290001,1,.53717625,57.82,55.200001,46.889999,38.580002,.4994722,9.062644,.233281,0.6363799999999992,.235434,.63362801,.35113299,.56628603,1,713330,434000,183901,279330,213852,213000,279330,552688,455330,97358,-14716,46770,26088,4159,21929,103,84496,-20992,-1166,8112,-3643,4469,10650,.48539999,50,348.83328,169.33653,7430.1484,3606.8684,.22771007,.48565826,.038126945,.019269461,1,.049800798,.065565728,.16743636,0,0,.76558906,.60841405,13.477699,-.26710972,2.2041609,.76558906,.60841405
7.02893745395e+16,قطعات اتومبیل,ختوقا,1388-12-29,1388,12,خودرو و ساخت قطعات,15,39.619999,8,10.11,1,.53520381,33.040001,29,24.610001,20.219999,.38753876,2.7883739,.110864,0.7907280000000011,.111907,.78883302,.130114,.77581799,1,555544,111863,28116,443681,486066.49,266630,443681,139452,,139452,268,124347,125372,32,125340,470,22231,2843,1506,2731,1413,4194,119983.5,.95740002,450,1591.7634,1524.0288,42441.188,40635.18,.96490866,.95726424,.27042741,.86039281,1,.24684586,.22382925,.28026217,0,0,1.0955315,.20135759,13.227703,.091239601,1.0254586,1.0955315,.20135759
1.27522246779e+16,صنایع ریخته گری ایران,خریخت,1388-12-29,1388,12,خودرو و ساخت قطعات,15,61.919998,12,10,1,.34482759,46.400002,39,29.5,20,.43915904,5.012908,.10791,0.673366,.108703,.67096901,.112012,.66348201,.33333001,270703,240481,40217,30222,77800,23607,30222,222881,198177,24704,-3805,2605,3483,345,3138,133,7440,-11563,15264,11377,-6903,4474,0,0,0,450.43518,0,1063.3424,0,0,0,0,0,0,0,.0096230926,.086195484,0,0,2.5742836,.88835734,12.508778,.9455713,1.6120162,2.5742836,.88835734
4.58953394148e+16,رینگ سازی مشهد,خرینگ,1388-12-29,1388,12,خودرو و ساخت قطعات,15,86.379997,2,43.189999,1,1,86.379997,86.379997,86.379997,86.379997,0,37.307522,.74762797,0.25182600000000016,.76025403,.239746,1,0,1,642807,445744,219958,197063,140896.735,145705,197063,1130604,1006173,124431,-5386,92539,51359,10332,41027,282,117888,-98341,41232,21911,25965,47876,36426.25,.8865,250,955.05811,846.68268,13915.674,12336.59,.39363134,.88786042,.18484572,.032218397,1,.25853154,.14396079,.46959093,0,0,.71498322,.69343364,13.3736,-.33549619,3.619195,.71498322,.69343364
2589887561569709,زامیاد,خزامیا,1388-12-29,1388,12,خودرو و ساخت قطعات,15,29.719999,12,8.8599997,1,.75212222,21.91,20.639999,19.18,17.719999,.49724704,1.71694,.096170999,0.8443479999999995,.097125001,.84275597,.115232,.82654202,1,6634194,4299171,518762,2335023,1618800,1200000,2335023,6744186,5430551,1313635,-77184,758159,1163057,155847,1007210,839,-938487,1018036,1078935,210976,146482,357458,540000,.53640002,450,2841.467,1524.0288,340976.06,182883.47,.71225166,.53613448,.2312611,.080068968,1,.33358043,.1142805,.32469016,0,0,.69326943,.64803213,15.707747,-.36633655,.54054368,.69326943,.64803213
4.48914820269e+16,سایپا,خساپا,1388-12-29,1388,12,خودرو و ساخت قطعات,15,47.240002,14,9.6099997,1,.51805931,31.459999,28.16,23.690001,19.219999,.43848109,2.67872,.104812,0.7541139999999991,.105738,.75206101,.120812,.742428,.60869998,,,,,,,21055641,,,,,,,,636480,612,10513626,-4919474,2751666,1584355,1223059,2807414,5200000,.81699997,500,2072.6792,1693.3654,2155586.5,1761100,,8.1699343,.24696469,,1,,,,0,0,,,,,.98533905,,
6.39159261614e+16,الکتریک خودرو شرق,خشرق,1388-12-29,1388,12,خودرو و ساخت قطعات,15,49.139999,4,13.71,1,.38696021,49.139999,49.139999,38.279999,27.42,.077330075,6.1180739,.15425999,0.7289139999999996,.155589,.726605,.143593,.77204698,1,819302,503370,80926,315932,240870,210000,315932,988056,799821,188235,-4351,147978,99441,21590,77851,371,,,,,,,73500,.94340003,350,1256.4772,1185.3558,26386.02,24892.471,.49669546,.94411117,.232645,.074388497,1,.30514386,.18061472,.46838561,0,0,.76241088,.61438882,13.616208,-.27126965,1.8112473,.76241088,.61438882
2.80331330214e+16,فنرسازی خاور,خفنر,1388-12-29,1388,12,خودرو و ساخت قطعات,15,45.939999,4,16.66,1,.5689891,45.939999,45.939999,39.630001,33.32,.30039182,6.347434,.19652601,0.7397080000000006,.19856299,.73723799,.30926901,.65071702,1,290247,199768,71158,90479,82080,60000,90479,248555,192568,55987,2147,43569,31466,7080,24386,406,10519,-1904,5724,4502,6125,10627,12000,.49259999,200,1375.0127,677.34613,8250.0762,4064.0769,.2754252,.49208564,.13262746,.048279054,1,.14619882,.15011008,.48153716,0,0,.90717185,.68826896,12.578487,-.097423382,1.8480506,.90717185,.68826896
3.94361837271e+16,نیرو محرکه,خمحرکه,1388-12-29,1388,12,خودرو و ساخت قطعات,15,74.980003,6,34.099998,1,.90933335,73.290001,71.599998,69.900002,68.199997,.69159776,23.371122,.5097,0.4649100000000004,.51673102,.45848799,.99901903,.00094699999,1,1701534,1228204,343121,473330,373709.7,170100,473330,2594826,2354135,240691,12849,154574,116362,13532,102830,605,,,,,,,42525,.41319999,250,2048.9722,846.68268,34853.016,14402.072,.27511096,.41354662,.089842185,.016388383,1,.11379153,.090843908,.32656708,0,0,.78953308,.72182161,14.347041,-.23631355,3.1515012,.78953308,.72182161
7457232989848872,محورخودرو,خمحور,1388-12-29,1388,12,خودرو و ساخت قطعات,15,86.620003,6,28.67,1,.58906925,81.980003,77.339996,67.339996,57.34,.44386977,18.86997,.38628,0.4850620000000003,.38973299,.48229399,.76755798,.208794,1,,,,,509700,300000,402693,801713,670979,130734,145,108951,79221,10322,68899,230,-9693,-1662,199506,4839,8071,5051,75000,1.087,250,778.94806,846.68268,23368.443,25400.48,.68838286,1.0885499,.1862461,.093549684,1,.14714538,,.27055597,0,0,,,,,2.9375718,,
3.18791905880e+16,محورسازان,خوساز,1388-12-29,1388,12,خودرو و ساخت قطعات,15,92.580002,12,31.280001,1,.6486935,81.699997,79.5,71.029999,62.560001,.67703611,21.231518,.44095299,0.43683500000000014,.44520101,.433761,.95089197,.042323999,1,644078,497882,286275,146196,106800,150000,146196,2412618,2325973,86645,3760,57389,29673,5405,24268,162,47999,25047,-65307,34804,-27381,7423,0,0,0,548.65039,0,8229.7559,0,0,0,0,0,0,0,.089102559,.39254835,0,0,.73052615,.77301508,13.375575,-.31399027,3.0554867,.73052615,.77301508
4.23547364934e+16,پارس خودرو,خپارس,1388-12-29,1388,12,خودرو و ساخت قطعات,15,97.080002,10,32.150002,1,.60443693,87.760002,85.339996,74.82,64.300003,.64057136,23.12598,.45307001,0.41646100000000025,.45692301,.41424799,.935624,.055833001,1,8464542,5457850,2767392,3006692,2558000,2000000,3006692,9445316,7841166,1604150,-121004,1117442,947699,99864,847835,424,203493,-461662,1150557,110964,103444,214970,774000,.9127,387,1435.9739,1310.6648,287194.78,262132.97,.69265342,.9129135,.25742576,.081945382,1,.30258015,.13201447,.37165165,0,0,.85076886,.64478976,15.951397,-.16161479,3.1409566,.85076886,.64478976
4758266259250794,سازه پویش,خپویش,1388-12-29,1388,12,خودرو و ساخت قطعات,15,13.9,2,6.9499998,1,1,13.9,13.9,13.9,13.9,0,.96605003,.073918998,0.926268999999998,.074690998,.925309,.081776999,.91818702,1,496242,381259,57197,114983,455000,50000,114983,379963,309398,70565,-186,52495,61317,13579,47738,955,198612,-231046,60170,19131,-13845,5286,41250,.86479998,825,3230.9412,2794.053,16154.706,13970.265,.78578913,.86409152,.35874867,.1085632,1,.090659343,.10578508,.45654574,0,0,3.9571066,.76829249,13.114819,1.3755131,-.034539655,3.9571066,.76829249
3.37831403374e+16,چرخشگر,خچرخش,1388-12-29,1388,12,خودرو و ساخت قطعات,15,77.260002,10,16.700001,1,.45528898,60.779999,53.380001,43.389999,33.400002,.43455002,8.9317617,.193385,0.5836339999999999,.194809,.581043,.21455701,.579853,.5,779769,549965,81507,229804,304950,150000,229804,1041297,900718,140579,2760,73894,92133,11559,80574,537,-114952,-5810,220000,10921,13931,24852,61500,.76349998,410,1818.6744,1388.5596,27280.117,20828.395,.83227324,.76327354,.26761937,.059060961,1,.20167241,.094763964,.32155228,0,0,1.3270004,.70529222,13.566753,.28292105,2.1896136,1.3270004,.70529222
5.92170418153e+16,ایرکا پارت صنعت,خکار,1388-12-29,1388,12,خودرو و ساخت قطعات,15,68.339996,4,18.07,1,.35945892,68.339996,68.339996,52.240002,36.139999,.038435273,11.714698,.20623299,0.6171189999999995,.207362,.61520201,.142799,.76062298,1,242375,155975,52544,86400,80750,50000,86400,238558,185491,53067,-402,40003,33791,6367,27424,548,31999,-3598,2228,11732,-7099,4633,10000,.36500001,200,1855.9285,677.34613,9279.6426,3386.7307,.24998125,.36464411,.11574074,.041918527,1,.12383901,.1650459,.46299767,0,0,.93460649,.64352757,12.398241,-.067629702,2.4608443,.93460649,.64352757
1.92572952921e+16,کمک فنر ایندامین,خکمک,1388-12-29,1388,12,خودرو و ساخت قطعات,15,63.240002,4,22.35,1,.54658842,63.240002,63.240002,53.970001,44.700001,.27577484,11.709108,.27979299,0.6290910000000002,.28253999,.62620401,.48866299,.48245499,1,209357,222303,40659,-12946,23640,30000,-12946,290700,290141,559,-965,-25363,-41380,,-41380,-1379,-21757,-2739,24957,19815,-15863,3952,0,0,0,-4670.3018,0,-14010.905,0,0,0,0,0,0,0,-.12114713,1.9591379,1,1,-1.8260467,1.061837,12.251796,,2.460367,-1.8260467,1.061837
6.04518237143e+16,البرزدارو,دالبر,1388-12-29,1388,12,مواد و محصولات دارویی,43,56.34,20,6.1999998,1,.40000001,26.26,21.700001,17.049999,12.4,.32259029,2.1302819,.065059997,0.7123269999999996,.065554999,.710132,.066887997,.71118301,.23759,608445,359426,69273,249019,1301100,72000,249019,655277,432673,222604,589,198117,188754,42173,146581,2036,36358,-15749,54216,6495,8304,14799,100800,.68760002,1400,6895.3838,4741.4233,49646.766,34138.246,.50879025,.6876744,.40478837,.15382807,1,.07747291,.32561201,.79558992,0,0,5.2249026,.59072882,13.318662,1.6534362,.75625432,5.2249026,.59072882
1.83032370822e+16,فرآورده تزریقی,دفرا,1388-12-29,1388,12,مواد و محصولات دارویی,43,51.139999,6,11.94,1,.45158851,44.759998,38.380001,31.129999,23.879999,.17395385,4.71661,.13257299,0.7261679999999987,.13372099,.72387201,.147815,.71625698,.33333001,,,,,211544.1,52820,,174499,83179,91320,-2221,63982,50090,9123,40967,776,27405,-11154,4322,19313,-12539,6567,,,,,,,,,,,,1,,,,0,0,,,,,1.5510904,,
2.33536891030e+16,داروسازی کوثر,دکوثر,1388-12-29,1388,12,مواد و محصولات دارویی,43,96.260002,8,42.619999,1,.91185278,91.410004,89.360001,87.300003,85.239998,.73414266,36.537411,.72941399,0.24486800000000025,.74027097,.236387,.99999899,0,1,,,,,454680,135000,246089,424078,336367,87711,4569,80861,96206,12744,83462,618,45419,-13200,15089,9771,-3553,6218,54000,.64719999,400,2092.9995,1354.6923,28255.494,18288.346,.66781265,.64700103,.2194328,.12733507,1,.11876485,,.32858437,0,0,,,,,3.5983367,,
3.25256557294e+16,سیمان بهبهان,سبهان,1388-12-29,1388,12,سیمان، آهک و گچ,24,72.800003,12,20.49,1,.55755103,61.759998,57.240002,49.110001,40.98,.60849148,10.198376,.25115401,0.5939709999999992,.25338399,.59119999,.39160201,.50970101,1,432409,169525,174146,262884,589160,55000,262884,496174,250745,245429,-2184,201202,220457,31302,189155,3439,,,,,,,189750,1.0032001,3450,11646.967,11684.222,64058.32,64263.215,.94308209,1.0031456,.72180122,.38242632,1,.32206872,.46530485,.76536417,0,0,2.2411406,.39204779,12.977127,.80698496,2.3222284,2.2411406,.39204779
3.08292037061e+16,سیمان تهران,ستران,1388-12-29,1388,12,سیمان، آهک و گچ,24,82.559998,12,24.99,1,.54646838,72.529999,70.720001,60.349998,49.98,.64217758,14.819048,.321417,0.5266270000000006,.32414001,.52396399,.59025198,.35221601,1,4060410,1591759,1110577,2468651,3140793.356,1312492,2468651,1975979,910790,1065189,-12321,1010236,1144573,200491,944082,719,1045004,-129196,-39273,137559,54050,191638,656246,.6954,500,2435.0593,1693.3654,319599.59,222252.86,.64959675,.69511545,.26583183,.33211184,1,.20894276,.24880147,.40922594,0,0,1.2722712,.39201927,15.216795,.24080361,2.6959133,1.2722712,.39201927
6.73270290141e+16,سیمان خزر,سخزر,1388-12-29,1388,12,سیمان، آهک و گچ,24,69.139999,20,14.24,1,.54685098,43.75,40.279999,34.380001,28.48,.49818066,5.3540702,.16311,0.6351920000000001,.164452,.63266402,.21670599,.60195702,.68247002,1220260,879480,1031348,340780,437690,230000,340780,498678,292523,206155,-42937,153751,84907,15681,69226,301,309444,-35730,-170763,24422,-20786,3636,57500,.83060002,250,1019.4059,846.68268,23446.338,19473.701,.3739813,.83061278,.16873056,.11530486,1,.13137151,.12599856,.45117378,0,0,1.284377,.72073168,14.014574,.25027376,1.677857,1.284377,.72073168
2.72183864112e+16,سیمان دورود,سدور,1388-12-29,1388,12,سیمان، آهک و گچ,24,56.919998,20,6.1399999,1,.39308578,25.969999,21.76,17.02,12.28,.31734291,2.1192639,.064392,0.7095280000000009,.064879999,.70732898,.066174001,.70853102,.24597,703841,474294,282706,229547,532400,80000,229547,501775,294246,207529,-23376,147195,161404,24377,137027,1713,152078,-23939,79990,6450,23456,29906,132000,.96319997,1650,5801.4697,5588.106,46411.758,44704.848,.89676958,.96331382,.57504565,.26306611,1,.24793388,.20913103,.64124125,0,0,2.3193507,.67386526,13.464308,.84128726,.75106883,2.3193507,.67386526
2.69973165011e+16,سیمان شرق,سشرق,1388-12-29,1388,12,سیمان، آهک و گچ,24,96.440002,18,12.39,1,.34735072,59.279999,48.060001,36.419998,24.780001,.45624223,8.9033117,.13455901,0.4949780000000007,.135263,.49245,.148422,.464194,.30476001,3449201,1989162,211903,1460039,1061760,840000,1460039,635353,304217,331136,-5445,287556,336775,22623,314152,374,150268,-170008,35724,14398,-3538,10860,252000,.80430001,300,1263.2506,1016.0192,106113.05,85345.617,.87635106,.80215949,.17259812,.3966299,1,.23734178,.083368875,.1969509,0,0,.72721344,.57670224,15.053653,-.31853524,2.1864233,.72721344,.57670224
5.22204245316e+16,سیمان غرب,سغرب,1388-12-29,1388,12,سیمان، آهک و گچ,24,40.639999,12,10.2,1,.55314535,30.65,28.639999,24.52,20.4,.49337867,2.6169801,.112127,0.7863939999999986,.113182,.78446102,.13633899,.766617,1,1359039,936795,988804,422244,540000,300000,422244,523924,280877,243047,-40763,179716,91210,12594,78616,262,229952,-11199,-110915,9681,15191,24872,63000,.80150002,210,887.32349,711.21344,26619.703,21336.404,.3505531,.80136359,.14920282,.12024645,1,.11666667,.13223755,.42562121,0,0,1.2788814,.68930691,14.122289,.24598582,.96202099,1.2788814,.68930691
4.12272017525e+16,سیمان فارس,سفار,1388-12-29,1388,12,سیمان، آهک و گچ,24,17.959999,8,2.51,1,.3351135,12.49,10,7.5100002,5.02,.09735921,.41840801,.025469,0.9091830000000012,.025705,.90821099,.025497001,.90900201,.33333001,373537,193228,166718,180309,412750,50000,180309,328569,175181,153388,-1181,120769,146542,26974,119568,2391,96054,-3030,14333,6955,15725,22680,115000,.9619,2300,8097.6733,7789.481,40488.367,38947.402,.95223111,.96179581,.63779402,.35000259,1,.27861902,.32331201,.66978908,0,0,2.2891259,.5172928,12.830772,.82817006,-.87129825,2.2891259,.5172928
4.06114781832e+16,دوده صنعتی پارس,شدوص,1388-12-29,1388,12,محصولات شیمیایی,38,54.18,10,12.3,1,.51593959,40.259998,36.139999,30.370001,24.6,.39276487,4.3051019,.13776299,0.7127299999999998,.138972,.71044302,.166448,.69433898,.63635999,,,,,75480,60000,50917,307542,284822,22720,-5973,8675,-16315,,-16315,-272,74191,557,-31214,23044,-9297,13747,0,0,0,-921.1908,0,-5527.1445,0,0,0,0,0,0,0,,.17037532,0,1,,,,,1.4598008,,
